Nombre del anuncio,Resultados,Alcance,Impresiones,Coste_resultados,Importe_gastado,Dias_transcurridos,Clasificacion_descripcion,Lugar_descripcion,Objetivo_descripcion,Red_Social_descripcion,Name
24030102CVAATRIGENERHIDA18-MAHYMTHRFB Inicio Sierra,19255,106969,114813,0.089961,1732.2,16,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-15-mar-2024-15-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRFB Día Especial,16765,59074,62073,0.076982,1290.6,16,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-15-mar-2024-15-mar-2024.xlsx
24031501CVAATRIGENERHIDA18-MAHYMTHRFB Mercado Vendedora,10272,38209,39703,0.043849,450.42,16,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-15-mar-2024-15-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRFB Inicio Sierra,15042,81524,86984,0.093039,1399.49,15,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-16-mar-2024-16-mar-202.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRFB Día Especial,8644,39281,43396,0.089544,774.02,15,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-16-mar-2024-16-mar-202.xlsx
24031501CVAATRIGENERHIDA18-MAHYMTHRFB Mercado Vendedora,13192,53072,57314,0.047316,624.19,15,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-16-mar-2024-16-mar-202.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRFB Inicio Sierra,12789,69041,72849,0.087058,1113.39,17,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-14-mar-2024-14-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRFB Día Especial,35805,72831,77622,0.06854,2454.06,17,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-14-mar-2024-14-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRFB Inicio Sierra,12645,70275,72728,0.089601,1133,14,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-17-mar-2024-17-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRFB Día Especial,11075,39411,42745,0.085176,943.32,14,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-17-mar-2024-17-mar-2024.xlsx
24031701CVAATRIGENERHIDA18-MAHYMTHRFB Defender Niñez,9801,24182,25850,0.10768,1055.37,0,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-17-mar-2024-17-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRFB Inicio Sierra,7528,28945,30334,0.078045,587.52,12,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-19-mar-2024-19-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRFB Día Especial,9325,16558,17406,0.071524,666.96,12,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-19-mar-2024-19-mar-2024.xlsx
24031804CVAATRIGENERHIDA18-MAHYMTHRFB Lucha Histórica,12262,45006,51550,0.070047,858.92,12,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-19-mar-2024-19-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRFB Inicio Sierra,13245,56529,59079,0.082345,1090.66,13,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-18-mar-2024-18-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRFB Día Especial,13778,31252,33064,0.074863,1031.46,13,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-18-mar-2024-18-mar-2024.xlsx
24031804CVAATRIGENERHIDA18-MAHYMTHRFB Lucha Histórica,2,10,11,0.08,0.16,13,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-18-mar-2024-18-mar-2024.xlsx
24032001CVAATRIGENERHIDA18-MAHYMTHRFB Live Día Agua,3470,14884,15516,0.089144,309.33,9,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-22-mar-2024-22-mar-2024.xlsx
24032201CVAATRIGENERHIDA18-MAHYMTHRFB Defendamos Agua,26125,74951,83996,0.07461,1949.18,9,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-22-mar-2024-22-mar-2024.xlsx
24032201CVAATRIAMBIEHIDA18-34HYMTHRFB Defendamos Agua,4702,11039,11544,0.068939,324.15,9,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-22-mar-2024-22-mar-2024.xlsx
24032201CVAATRIPADFAHIDA25-44HYMTHRFB Defendamos Agua,7140,19676,21281,0.06915,493.73,9,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-22-mar-2024-22-mar-2024.xlsx
24032001CVAATRIGENERHIDA18-MAHYMTHRFB Live Día Agua,6569,31760,34719,0.087803,576.78,10,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-21-mar-2024-21-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRFB Inicio Sierra,56775,176374,197801,0.048417,2748.85,30,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-01-mar-2024-1-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRFB Día Especial,14704,38941,41578,0.050521,742.86,30,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-01-mar-2024-1-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRFB Inicio Sierra,72351,271282,299983,0.05544,4011.16,29,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-02-mar-2024-2-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRFB Día Especial,53760,112421,124754,0.053717,2887.84,29,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-02-mar-2024-2-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRFB Inicio Sierra,3735,16857,17130,0.061735,230.58,27,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-04-mar-2024-4-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRFB Día Especial,4971,16505,16909,0.058896,292.77,27,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-04-mar-2024-4-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRFB Inicio Sierra,26460,98534,107257,0.058042,1535.79,26,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-05-mar-2024-5-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRFB Día Especial,22189,56755,63745,0.055342,1227.98,26,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-05-mar-2024-5-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRFB Inicio Sierra,22232,106999,114788,0.06584,1463.76,25,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-06-mar-2024-6-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRFB Día Especial,31917,86422,92888,0.060625,1934.97,25,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-06-mar-2024-6-mar-2024.xlsx
24030602CVAATRIGENERHIDA18-MAHYMTHRFB Defender México,6604,23608,25245,0.049367,326.02,1,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-06-mar-2024-6-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRFB Inicio Sierra,9879,48961,51785,0.072481,716.04,24,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-07-mar-2024-7-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRFB Día Especial,7257,25483,25483,0.070289,510.09,24,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-07-mar-2024-7-mar-2024.xlsx
